EVTDESC_TOG_100;You have sent out the call for the Nerge to your vassals. Preparations for the Great Hunt have begun, and your scouts have chosen a promising region that is rich with game. Tuigan warriors are converging on the designated assembly points.;Vous avez annoncé la tenue de la Nerge à vos vassaux. Les préparatifs pour la Grande Chasse commencent et vos éclaireurs ont choisi une région prometteuse très riche en gibier. Des guerriers Tuigans convergent vers les points de ralliement définis.;Ihr habt Eure Vasallen zur Nerge gerufen. Die Vorbereitungen für die Große Jagd haben begonnen und Eure Kundschafter haben eine vielversprechende Gegend mit ausreichend Wild gewählt. Tuiganische Krieger versammeln sich an den vorgesehenen Treffpunkten.;;Has enviado la convocatoria para la Nerge a tus vasallos. Los preparativos para la Gran Cacería han comenzado, y los exploradores han elegido una región prometedora que es rica en juego. Guerreros Tuiganes están convergiendo en los puntos de concentración designados.;;;;;;;;;x
EVTDESC_TOG_101;The great [From.GetTitle] has announced the beginning of the Nerge! This Great Hunt, which will last for several months, is nothing less than a massive training exercise where all arms of the Tuigan army come together and are molded into a lethal fighting force. Your presence is required.;[From.GetLeLaCap] grand[From.Get_E] [From.GetTitle] a annoncé le début de la Nerge ! Cette Grande Chasse, qui s'échelonnera sur plusieurs mois, n'est rien de moins qu'un exercice d'entraînement de grande envergure réunissant toutes les armes de l'armée Tuigane pour former un bataillon meurtrier. Votre présence est requise.;[From.GetTitle] hat den Beginn der Nerge verkündet! Diese Große Jagd wird mehrere Monate andauern und ist nichts Geringeres als massives Training, zu dem alle Teile der Tuiganischen Armee zusammenkommen und in eine tödliche Streitmacht geformt werden. Eure Anwesenheit ist erforderlich.;;¡El gran [From.GetTitle] ha anunciado el comienzo de la Nerge! Esta Gran Cacería, que tendrá una duración de varios meses, no es más que un ejercicio de entrenamiento masivo donde todos los brazos del ejército Tuigan se unen y se moldean en una fuerza de combate letal. Se requiere tu presencia.;;;;;;;;;x
EVTDESC_TOG_102;The preparations for the Nerge have been completed, and your forces are deployed at the assembly points! They will now advance in formation, driving all wildlife before them until they are trapped and surrounded in a large clearing prepared by your scouts. Then the killing begins.;Les préparatifs pour la Nerge sont maintenant terminés et vos forces se déploient aux différents points de ralliement ! Elles progresseront en formation, forçant les bêtes à rebrousser chemin jusqu'à ce qu'elles soient prises au piège, encerclées dans une vaste clairière défrichée pas vos éclaireurs. La tuerie pourra ensuite commencer. ;Die Vorbereitungen der Nerge sind abgeschlossen und Eure Streitkräfte haben sich an den Treffpunkten versammelt! Sie werden nun in Formation vordringen und alle Wildtiere vor sich hertreiben, bis sie auf einer großen Lichtung, die Eure Kundschafter auswählten, gefangen sind und umzingelt werden. Dann kann das Töten beginnen.;;¡Los preparativos para la Nerge se han completado, y tus fuerzas están desplegadas en los puntos de reunión! Ahora avanzarán en formación, conduciendo a toda la fauna silvestre delante de ellos hasta que sean atrapados y rodeados en un gran claro preparado por sus exploradores. Entonces la matanza comienza.;;;;;;;;;x
EVTDESC_TOG_103;The preparations for the Nerge have been completed, and the [From.GetTitle]'s  forces are deployed at the assembly points! Together, you will now advance in formation, driving all wildlife before you until they are trapped and surrounded in a large clearing prepared by the [From.GetTitle]'s scouts. Then the killing begins.;Les préparatifs pour la Nerge sont maintenant terminés et les forces [From.Get_only_du_Title][From.GetTitle] se déploient aux différents points de ralliement ! Ensemble, vous progresserez en formation, forçant les bêtes à rebrousser chemin jusqu'à ce qu'elles soient prises au piège, encerclées dans une vaste clairière défrichée par les éclaireurs [From.Get_only_du_Title][From.GetTitle]. La tuerie pourra ensuite commencer.;Die Vorbereitungen der Nerge sind abgeschlossen und [From.GetTitle]s Streitkräfte haben sich an den Treffpunkten versammelt! Sie werden nun zusammen mit Euch in Formation vordringen und alle Wildtiere vor sich hertreiben, bis sie auf einer großen Lichtung, die [From.GetTitle]s Kundschafter auswählten, gefangen sind und umzingelt werden. Dann kann das Töten beginnen.;;¡Los preparativos para la Nerge se han completado, y las fuerzas de [From.GetTitle] están desplegadas en los puntos de reunión! Juntos avanzaréis en formación, conduciendo a toda la fauna silvestre delante vuestro hasta que sean atrapados y rodeados en un gran claro preparado por los exploradores de [From.GetTitle]. Entonces la matanza comienza.;;;;;;;;;x
EVTDESC_TOG_110;While guiding the advance in your assigned sector of the Nerge, your horse was suddenly startled by a fox bolting from its hiding place. You were thrown off your saddle, and when you regained consciousness you found your arm painfully twisted at a strange angle. It looks like this hunt is over for you.;Tandis que vous guidiez la progression vers votre secteur désigné pour la Nerge, votre cheval  sursaute soudainement lorsqu'un renard bondit hors de son terrier. Vous heurtez violemment le sol et, lorsque vous reprenez conscience, vous vous apercevez que votre bras est tordu douloureusement de façon inhabituelle. Force est de constater que la partie de chasse est terminée pour vous.;Während Ihr den Fortschritt in dem Euch zugewiesenen Abschnitt der Nerge überwacht, wird Euer Pferd plötzlich von einem Fuchs, der aus seinem Versteck hechtet, verschreckt. Ihr fliegt vom Pferd und als Ihr Euer Bewusstsein wiedererlangt, ist Euer Arm in einem unnatürlichen Winkel schmerzhaft verdreht. Wie es scheint, ist die Jagd für Euch vorüber.;;Mientras guiaba el avance en el sector asignado de la Nerge, tu caballo se asustó de repente por un zorro escapando de su escondite. Fuiste arrojado de tu silla, y cuando recuperaste el conocimiento encontraste tu brazo dolorosamente torcido en un ángulo extraño. Parece que esta caza ha terminado para ti.;;;;;;;;;x
EVTDESC_TOG_111;While guiding the advance in his assigned sector of the Nerge, [From.GetTitledFirstName]'s horse was suddenly startled by a fox bolting from its hiding place. He was thrown off his saddle and broke his arm. For him, the hunt is over.;Tandis qu'il guidait la progression vers son secteur désigné pour la Nerge, le cheval [From.Get_du_TitledFirstName] sursaute soudainement lorsqu'un renard bondit hors de son terrier. [From.Get_Le_TitledFirstName] se heurte violemment au sol et se fracture le bras. Force est de constater que la partie de chasse est terminée pour lui.;Während [From.GetTitledFirstName] den Fortschritt im zugewiesenen Abschnitt der Nerge überwacht, wird [From.GetTitledFirstName]s Pferd plötzlich von einem Fuchs, der aus seinem Versteck hechtet, verschreckt. Er fliegt vom Pferd und als er sein Bewusstsein wiedererlangt, ist ein Arm in einem unnatürlichen Winkel schmerzhaft verdreht. Wie es scheint, ist die Jagd für ihn vorüber.;;Mientras guiaba el avance en el sector asignado de la Nerge, el caballo de [From.GetTitledFirstName] se asustó de repente por un zorro escapando de su escondite. Fue arrojado de su silla y se rompió un brazo. La caza ha terminado para él.;;;;;;;;;x
EVTDESC_TOG_112;Your forces continue to drive wildlife before them, but as they pass a small creek, their lines collide with forces under [quarreling_vassal.GetTitledFirstName]'s command! The cohesion of your forces has been broken, and when [quarreling_vassal.GetFirstName] chastises you in front of your men, you come to blows with the man!;Vos forces continuent de repousser les bêtes devant vous, mais lorsque vous atteignez un petit ruisseau, vous croisez la route des hommes sous le commandement [quarreling_vassal.Get_du_TitledFirstName] ! La cohésion de vos forces se brise et, lorsque [quarreling_vassal.GetFirstName] vous réprimande devant vos hommes, vous en venez aux coups avec l'importun ! ;Eure Truppen jagen das Wild weiter vor sich her, bis sie in einem schmalen Flusslauf mit den Truppen von [quarreling_vassal.GetTitledFirstName] zusammentreffen! Der Verbund Eurer Truppen gerät durcheinander und als [quarreling_vassal.GetFirstName] Euch vor den Augen Eurer Männer zusammenstaucht, explodiert Ihr.;;Tus fuerzas siguen impulsando la fauna silvestre delante suyo, pero a medida que pasan un pequeño arroyo, sus líneas chocan con fuerzas bajo el mando de [quarreling_vassal.GetTitledFirstName]! La cohesión de tus fuerzas se ha roto, y cuando [quarreling_vassal.GetFirstName] te castiga delante de tus hombres, llegas a las manos con él!;;;;;;;;;x
EVTDESC_TOG_113;Word has reached you that [From.GetTitledFirstName] came to blows with [quarreling_vassal.GetTitledFirstName] in front of their men, when their advancing lines became entangled in one another. No wildlife seems to have escaped, and the matter has been settled between the men. They will likely hold a grudge, however...;On vous a rapporté que [From.Get_le_TitledFirstName] en est venu[From.Get_E] aux mains avec [quarreling_vassal.Get_le_TitledFirstName] devant leurs hommes lorsque les deux troupes se sont croisées dans leur progression. Aucune bête ne semble toutefois s'être échappée et les deux hommes ont réglé leur différend. Par contre, ils en garderont certainement rancune...  ;Euch wird berichtet, dass [From.GetTitledFirstName] sich mit [quarreling_vassal.GetTitledFirstName] vor den Augen ihrer Männer zerstritten hat, als ihre vorstoßenden Truppen zusammenstießen. Kein Wild scheint entkommen zu sein und die Männer konnten die Sache unter sich regeln. Sie werden jedoch sicherlich einen Groll hegen...;;Han llegado rumores de que [From.GetTitledFirstName] llegó a las manos con [quarreling_vassal.GetTitledFirstName] delante de sus hombres, cuando sus líneas de avance se enredaron entre ellas. La fauna silvestre no parece haber escapado, y el asunto se ha resuelto entre los hombres. Sin embargo, probablemente se guarden rencor...;;;;;;;;;x
EVTDESC_TOG_114;You have failed to keep the advance of your men orderly, and as a result gaps have opened up in your lines. It's impossible to tell how much wildlife has escaped the encirclement, but some is bound to have slipped through the cracks. When the [Root.Liege.GetTitle] learns of this, [Root.Liege.GetSheHe] will not be pleased...;Vous n'avez pas réussi à tenir vos hommes en ordre de marche disciplinée, laissant des trous se former dans vos lignes. Impossible de savoir combien de bêtes sauvages ont pu échapper à l'encerclement, mais il est certain qu'il y a eu des rescapés. Quand votre [Root.Liege.GetTitle] apprendra ça, [Root.Liege.GetIlElle] n'appréciera pas...;Ihr konntet die Ordnung beim Vorstoß Eurer Truppen nicht aufrechterhalten und so kam es zu Lücken in der Linie. Es ist unmöglich abzuschätzen, wie viel Wild dadurch entkommen konnte, doch dass dies einigen gelang, ist sicher. Wenn [Root.Liege.GetTitle] davon erfährt, wird [Root.Liege.GetSheHe] nicht sehr erfreut sein...;;Has fallado en mantener el avance de tus hombres ordenadamente, y como resultado se han abierto brechas en tus líneas. Es imposible saber cuánta vida silvestre ha escapado del cerco, pero es probable que algunos se hayan escabullido por las grietas. Cuando el [Root.Liege.GetTitle] se entere de esto, [Root.Liege.GetSheHe] no estará contento...;;;;;;;;;x
EVTDESC_TOG_115;Through incompetence, [From.GetTitledFirstName] has failed to properly maintain his lines resulting in a large gap forming in the encirclement. Much wildlife has escaped, and tradition dictates that [From.GetFirstName] and his men be punished severely. Failure to do so could disrupt discipline among the other troops.;À cause de son incompétence, [From.Get_le_TitledFirstName] n'a pas réussi à tenir ses hommes en ordre de marche discipliné, laissant des trous se former dans ses lignes. De nombreuses bêtes sauvages se sont échappées et la tradition veut que [From.GetFirstName] et ses hommes soient sévèrement punis. Un manquement au respect de cette tradition pourrait bien perturber la discipline des autres troupes.;Durch Inkompetenz hat [From.GetTitledFirstName] versagt, die Linie seiner Truppen aufrechtzuerhalten, und es kam zu Lücken bei der Treibjagd. Wildtiere sind entkommen und die Tradition verlangt, dass [From.GetFirstName] und seine Truppen schwer dafür bestraft werden. Wenn dies nicht erfolgt, wird es die Moral der anderen Truppen beeinträchtigen.;;Por su incompetencia, [From.GetTitledFirstName] ha fracasado en mantener adecuadamente sus líneas dando como resultado un gran vacío en el cerco. Mucha vida silvestre ha escapado, y la tradición dicta que [From.GetFirstName] y sus hombres serán castigados severamente. De lo contrario, podría perturbar la disciplina entre los demás soldados.;;;;;;;;;x
