#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
Cleric;cleric;;;;;;;;;;;;;x
cleric;cleric;;;;;;;;;;;;;x
PRIEST;priest;;;;;;;;;;;;;x
good_human_pantheon_group;Estelar;;;;;;;;;;;;;x
good_human_pantheon;Thorass;;;;;;;;;;;;;x
good_human_pantheon_DESC;This character primarily worships the more beneficent deities (Estelar) of the Faerûnian Pantheon, and calls them by their traditional Thorass names.;;;;;;;;;;;;;x
evil_human_pantheon_group;Dark Estelar;;;;;;;;;;;;;x
evil_human_pantheon;Akalaic;;;;;;;;;;;;;x
evil_human_pantheon_DESC;This character primarily worships the more malevolent deities (or Dark Estelar) of the Faerûnian Pantheon. Some are known by their old Akalic names from the South, while others are newcomers.;;;;;;;;;;;;;x
deities_of_fury;Furious;;;;;;;;;;;;;x
deities_of_fury_DESC;This character worships the gods that embody the destructive forces of nature.;;;;;;;;;;;;;x
talos;Talos;;;;;;;;;;;;;x
auril;Auril;;;;;;;;;;;;;x
umberlee;Umberlee;;;;;;;;;;;;;x
church_of_cyric;Cyricist;;;;;;;;;;;;;x
church_of_cyric_DESC;This character follows Cyric, the Prince of Lies. Cyric is a newly-risen god who stole his portfolio from other Dark Gods. He is at best a rival, and more often an enemy, to virtually all other gods.;;;;;;;;;;;;;x
gods_of_good;the Estelar;;;;;;;;;;;;;x
gods_of_evil;the Dark Gods;;;;;;;;;;;;;x
bane;Bane;;;;;;;;;;;;;x
xvim;Iyachtu Xvim;;;;;;;;;;;;;x
cyric;Cyric;;;;;;;;;;;;;x
calishite_faith;Alzhedo;;;;;;;;;;;;;x
calishite_faith_DESC;This character follows the Alzhedo or Calishite religion, which follows the polytheistic gods of Faerûn, although often under different names. This form of the Faerûnian faith permits polygamy, and members are sometimes sympathetic to the views of the Zakharan faith of Ten Thousand Gods.;;;;;;;;;;;;;x
anachtyr;Anachtyr;;;;;;;;;;;;;x
nobanion;Nobanion the Lion;;;;;;;;;;;;;x
chauntean_faith;Chauntean;;;;;;;;;;;;;x
