#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
abomination;Abomination;;;;;;;;;;;;;x
aglarondan;Aglarondan;;;;;;;;;;;;;x
altumbelian;Altumbelian;;;;;;;;;;;;;x
amnian;Amnian;;;;;;;;;;;;;x
arctic_dwarf;Arctic Dwarf;;;;;;;;;;;;;x
arkaiun;Arkaiun;;;;;;;;;;;;;x
arnadar;Arnadar;;;;;;;;;;;;;x
bedine;Bedine;;;;;;;;;;;;;x
beholder;Beholder;;;;;;;;;;;;;x
beholder_group;Beholder;;;;;;;;;;;;;x
calishite;Calishite;;;;;;;;;;;;;x
celestial_group;Celestial;;;;;;;;;;;;;x
eladrin;Eladrin;;;;;;;;;;;;;x
angel;Angel;;;;;;;;;;;;;x
centaur_group;Centaurs;;;;;;;;;;;;;x
centaur;Centaur;;;;;;;;;;;;;x
chessentan;Chessentan;;;;;;;;;;;;;x
amaese;Amaese;;;;;;;;;;;;;x
ogre_magi;Ogre-Magi;;;;;;;;;;;;;x
chondathan;Chondathan;;;;;;;;;;;;;x
chultan;Chultan;;;;;;;;;;;;;x
fiendish_group;Fiendish;;;;;;;;;;;;;x
baatezu;Baatezu;;;;;;;;;;;;;x
tanarri;Tanar'ri;;;;;;;;;;;;;x
coldlander_group;Coldlander;;;;;;;;;;;;;x
cormyrian;Cormyrian;;;;;;;;;;;;;x
crinti;Crinti;;;;;;;;;;;;;x
dalesman;Dalesman;;;;;;;;;;;;;x
damaran;Damaran;;;;;;;;;;;;;x
derro;Derro;;;;;;;;;;;;;x
drow;Drow;;;;;;;;;;;;;x
duergar;Duergar;;;;;;;;;;;;;x
durpari;Durpari;;;;;;;;;;;;;x
dwarf_group;Dwarf;;;;;;;;;;;;;x
elf_group;Elf;;;;;;;;;;;;;x
eshowe;Eshowe;;;;;;;;;;;;;x
imaskari;Imaskari;;;;;;;;;;;;;x
fey_group;Fey;;;;;;;;;;;;;x
feyri;Fey'ri;;;;;;;;;;;;;x
ffolk;Ffolk;;;;;;;;;;;;;x
giant_group;Giant;;;;;;;;;;;;;x
gnoll;Gnoll;;;;;;;;;;;;;x
gnoll_group;Gnoll;;;;;;;;;;;;;x
gnome;Gnome;;;;;;;;;;;;;x
gnome_group;Gnome;;;;;;;;;;;;;x
mahasiswa;Mahasiswa;;;;;;;;;;;;;x
tabotan;Tabotan;;;;;;;;;;;;;x
goblin;Low Goblin;;;;;;;;;;;;;x
goblinoid_group;Goblinoid;;;;;;;;;;;;;x
batiri;Batiri;;;;;;;;;;;;;x
bakemono;Bakemono;;;;;;;;;;;;;x
gold_dwarf;Gold Dwarf;;;;;;;;;;;;;x
gray_orc;Gray Orc;;;;;;;;;;;;;x
green_elf;Green Elf;;;;;;;;;;;;;x
gur;Gur;;;;;;;;;;;;;x
halfling;Halfling;;;;;;;;;;;;;x
halfling_group;Hin;;;;;;;;;;;;;x
halruaan;Halruaan;;;;;;;;;;;;;x
heartlander;Draeven;;;;;;;;;;;;;x
highcoaster;High Coaster;;;;;;;;;;;;;x
illithid;Illithid;;;;;;;;;;;;;x
illithid_group;Illithid;;;;;;;;;;;;;x
illuskan;Illuskan;;;;;;;;;;;;;x
illuskan_group;Illuskan;;;;;;;;;;;;;x
imaskari_group;Imaskari;;;;;;;;;;;;;x
impilturan;Impilturan;;;;;;;;;;;;;x
jhaamdathan_group;Jhaamdathan;;;;;;;;;;;;;x
chondathan_group;Chondathan;;;;;;;;;;;;;x
katashakan_group;Katashakan;;;;;;;;;;;;;x
kara_turan_group;Kara-Turan;;;;;;;;;;;;;x
khatin;Khatin;;;;;;;;;;;;;x
kozakuran;Kozakuran;;;;;;;;;;;;;x
lantanna;Lantanna;;;;;;;;;;;;;x
lapal_group;Lapal;;;;;;;;;;;;;x
azuposi;Azuposi;;;;;;;;;;;;;x
payit;Payit;;;;;;;;;;;;;x
lizardfolk;Lizardfolk;;;;;;;;;;;;;x
lightfoot;Lightfoot;;;;;;;;;;;;;x
malison;Malison;;;;;;;;;;;;;x
mari;Mari;;;;;;;;;;;;;x
maztican_group;Maztican;;;;;;;;;;;;;x
ulutiun;Ulutiun;;;;;;;;;;;;;x
minotaur;Minotaur;;;;;;;;;;;;;x
minotaur_group;Minotaur;;;;;;;;;;;;;x
monster;Monster;;;;;;;;;;;;;x
monster_group;Monster;;;;;;;;;;;;;x
moon_elf;Moon Elf;;;;;;;;;;;;;x
moonsea;Moonsea;;;;;;;;;;;;;x
mountain_giant;Mountain Giant;;;;;;;;;;;;;x
mouther;Gibbering Mouther;;;;;;;;;;;;;x
mulan_group;Mulan;;;;;;;;;;;;;x
mulhorandi;Mulhorandi;;;;;;;;;;;;;x
murghomi;Murghomi;;;;;;;;;;;;;x
naga;Naga;;;;;;;;;;;;;x
nar;Nar;;;;;;;;;;;;;x
narfelli_group;Narfelli;;;;;;;;;;;;;x
nelanthern;Nelanthern;;;;;;;;;;;;;x
netherese_group;Netherese;;;;;;;;;;;;;x
nexalan;Nexalan;;;;;;;;;;;;;x
northlander;Northlander;;;;;;;;;;;;;x
ondonti;Ondonti;;;;;;;;;;;;;x
ogre;Ogre;;;;;;;;;;;;;x
orc;High Orc;;;;;;;;;;;;;x
orc_group;Orc;;;;;;;;;;;;;x
rashemi;Rashemi;;;;;;;;;;;;;x
raum_group;Raum;;;;;;;;;;;;;x
raumthari_group;Raumthari;;;;;;;;;;;;;x
raumviran;Raumviran;;;;;;;;;;;;;x
savage_frontieran;Savage Frontier;;;;;;;;;;;;;x
scaly_group;Scalykind;;;;;;;;;;;;;x
sembite;Sembite;;;;;;;;;;;;;x
semphari;Semphari;;;;;;;;;;;;;x
shaaran;Shaaran;;;;;;;;;;;;;x
shaaran_group;Shaaran;;;;;;;;;;;;;x
shadovar;Shadovar;;;;;;;;;;;;;x
shield_dwarf;Shield Dwarf;;;;;;;;;;;;;x
shou;Shou;;;;;;;;;;;;;x
sossrim;Sossrim;;;;;;;;;;;;;x
stone_giant;Stone Giant;;;;;;;;;;;;;x
strongheart;Strongheart;;;;;;;;;;;;;x
sun_elf;Sun Elf;;;;;;;;;;;;;x
tashalan;Tashalan;;;;;;;;;;;;;x
tethyrian;Tethyrian;;;;;;;;;;;;;x
tethyrian_group;Tethyrian;;;;;;;;;;;;;x
thayan;Thayan;;;;;;;;;;;;;x
thinguth;Thinguth;;;;;;;;;;;;;x
treant;Treant;;;;;;;;;;;;;x
tuigan;Tuigan;;;;;;;;;;;;;x
tuigan_group;Tuigan;;;;;;;;;;;;;x
chuchian;Chuchian;;;;;;;;;;;;;x
taan_group;Taangan;;;;;;;;;;;;;x
tunlar;Tunlar;;;;;;;;;;;;;x
turami_group;Turami;;;;;;;;;;;;;x
turmic;Turami;;;;;;;;;;;;;x
uluik;Uluik;;;;;;;;;;;;;x
uluik_group;Uluik;;;;;;;;;;;;;x
undead_group;Undead;;;;;;;;;;;;;x
untheric;Untheric;;;;;;;;;;;;;x
uthgardt;Uthgardt;;;;;;;;;;;;;x
vaasan;Vaasan;;;;;;;;;;;;;x
wemic;Wemic;;;;;;;;;;;;;x
westerner_group;Westerner;;;;;;;;;;;;;x
wild_dwarf;Wild Dwarf;;;;;;;;;;;;;x
wood_elf;Wood Elf;;;;;;;;;;;;;x
wraith;Wraith;;;;;;;;;;;;;x
yikarian;Yikarian;;;;;;;;;;;;;x
yikarian_group;Yikarian;;;;;;;;;;;;;x
yuanti;Yuan-Ti;;;;;;;;;;;;;x
zakharan;Zakharan;;;;;;;;;;;;;x
badia;Badia;;;;;;;;;;;;;x
qarsan;Qarsan;;;;;;;;;;;;;x
hadhar;Hadhar;;;;;;;;;;;;;x
zakharan_group;Zakharan;;;;;;;;;;;;;x
gith_group;Gith;;;;;;;;;;;;;x
githyanki;Githyanki;;;;;;;;;;;;;x
githzerai;Githzerai;;;;;;;;;;;;;x
fire_giant;Fire Giant;;;;;;;;;;;;;x
