EVTDESC_TOG_700;Invitations have gone out to your vassals asking them to join you in this summer's Gathering. You have decided to make the festival this year a special one, remembered by deities, spirits, and the community for many years to come.;Des invitations à venir célébrer cet été avec vous la fête d'Ukko Ylijumala ont été envoyées à vos vassaux. Vous avez décidé de la célébrer grandement en grand afin que les dieux et les hommes s'en souviennent pour plusieurs années.;Zum diesjährigen Ukon Juhla Fest wurden an alle Vasallen Einladungen geschickt. Ihr habt beschlossen, das Fest diesmal zu etwas ganz Besonderem zu machen, an das sich Götter und Menschen noch Jahre erinnern werden.;;Las invitaciones para tus vasallos han salido, pidiéndoles que se unan a la fiesta Ukon Juhla de este verano. Has decidido que el festival de este año sea especial, recordado por dioses y hombres durante muchos años.;;;;;;;;;x
EVTDESC_TOG_701;[From.GetTitledFirstName], your liege, has invited you to join [From.GetHerHim] for this summer's Gathering. There you will celebrate the coming of summer and pay tribute to the deities and spirits.;[From.Get_Le_TitledFirstName], votre [From.GetLordLady] lige, vous a invité[Root.Get_E] à sa fête d'Ukko Ylijumala. Vous y célébrerez la venue de l'été et rendrez hommage à Ukko, le dieu du climat et des récoltes.;[From.GetTitledFirstName], Euer Lehnsherr, hat Euch eingeladen, im Sommer am Ukon Juhla Fest teilzunehmen. Dort werdet Ihr den Beginn des Sommers feiern und Ukko ehren, den Gott des Wetters und Getreides. ;;[From.GetTitledFirstName], tu señor, te ha invitado a unirte a [From.GetHerHim] para la fiesta de verano de Ukon Juhla. Allí celebrarás la llegada del verano y pagarás tributo a Ukko, el dios del clima y la cosecha.;;;;;;;;;x
EVTDESC_TOG_702;[From.GetTitledFirstName] has declined your invitation to attend the Gathering! Apparently [From.GetSheHe] has no faith in the deities and spirits, and instead follows the strange rituals of some other deity that is foreign to our ways.;[From.Get_Le_TitledFirstName] a décliné votre invitation à votre fête d'Ukko Ylijumala ! [From.GetIlElle] ne croit apparemment pas en Ukko, Jumi ou en un autre de vos dieux et préfère suivre de bizarres rituels religieux qui vous sont étrangers.;[From.GetTitledFirstName] hat Eure Einladung zum Ukon Juhla Fest abgelehnt. Offenbar hat [From.GetSheHe] kein Vertrauen in Ukko, Jumi und die anderen Götter und folgt stattdessen den seltsamen Pfaden fremder Religionen.;;¡[From.GetTitledFirstName] ha declinado tu invitación para asistir al festival Juhla Ukon! Al parecer [From.GetSheHe] no tiene fe en Ukko, Jumi y los otros dioses, y en su lugar sigue los extraños rituales de otra religión ajena a la nuestra.;;;;;;;;;x
EVTDESC_TOG_703;Your vassals have arrived and the time of the Gathering is upon us. The night comes late during the summer months, but when darkness begins to set in the bonfires you have prepared light up the forest. The largest bonfire is to honor the deities and spirits in the hope of receiving bountiful harvests.;Vos vassaux sont arrivés et le jour est venu de célébrer la fête d'Ukko Ylijumala. Le crépuscule est tardif en ces jours d'été, néanmoins, la nuit venant, les feux de joie que vous avez préparés pour illuminer la forêt sont allumés. Le plus grand feu est appelé Ukon-kokko en l'honneur du dieu Ukko, dans l'espoir d'obtenir des récoltes abondantes.;Eure Vasallen sind eingetroffen und die Zeit des Ukon Juhla Festes ist da. Die Nacht beginnt im Sommer zwar spät, aber als die Dunkelheit einsetzt, erleuchten die vorbereiteten Freudenfeuer den Wald. Das größte Feuer wird Ukon-Kokko genannt, um den Gott Ukko zu ehren und vielleicht reichhaltige Ernten zu erhalten.;;Tus vasallos han llegado y es el momento del festival Ukon Juhla. La noche llega tarde en los meses de verano, pero cuando la oscuridad comienza has preparado hogueras para que la luz llegue hasta el bosque. La hoguera más grande se llama Ukon-kokko para honrar al dios Ukko con la esperanza de recibir abundantes cosechas.;;;;;;;;;x
EVTDESC_TOG_704;At last, the time of the Gathering is upon us. The night comes late during the summer months, but when darkness begins to set in your liege's servants light the bonfires that have been prepared. The largest bonfire is to honor the deities and spirits in the hope of receiving bountiful harvests.;L'heure est enfin venue de célébrer la fête d'Ukko Ylijumala. Le crépuscule est tardif en ces jours d'été, néanmoins, la nuit venue, les serviteurs de votre seigneur allument les feux de joie qui ont été préparés pour éclairer la forêt. Le plus grand feu est appelé Ukon-kokko en l'honneur du dieu Ukko, dans l'espoir d'obtenir des récoltes abondantes.;Endlich ist die Zeit des Ukon Juhla Festes da. Die Nacht beginnt im Sommer zwar spät, aber als die Dunkelheit einsetzt, erleuchten die vorbereiteten Freudenfeuer den Wald. Das größte Feuer wird Ukon-Kokko genannt, um den Gott Ukko zu ehren und vielleicht reichhaltige Ernten zu erhalten.;;Por fin, llega el  momento del festival Ukon Juhla. La noche llega tarde en los meses de verano, pero cuando la oscuridad comienza los sirvientes de tu señor han preparado hogueras para que la luz llegue hasta el bosque. La hoguera más grande se llama Ukon-kokko para honrar al dios Ukko con la esperanza de recibir abundantes cosechas;;;;;;;;;x
EVTDESC_TOG_705;With the bonfires still lighting up the woods outside in the warm summer night, you and your vassals gather for the great feast your servants have prepared!;Par cette chaude nuit d'été, près des feux de joie qui éclairent les bois, vos vassaux et vous êtes réunis pour savourer le grand banquet préparé par vos serviteurs !;Während die Freudenfeuer noch immer die Wälder in der warmen Sommernacht erleuchten, versammeln sich Eure Vasallen und Ihr für das große Festmahl, das Eure Diener vorbereitet haben.;;¡Con las hogueras iluminando el bosque en la cálida noche de verano, tú y tus vasallos os reunís para la gran fiesta que han preparado tus sirvientes!;;;;;;;;;x
EVTDESC_TOG_706;With the bonfires still lighting up the woods outside in the warm summer night, you gather together with your liege and the rest of [From.GetHerHis] vassals for the great feast [From.GetSheHe] has prepared!;Par cette chaude nuit d'été, près des feux de joie qui éclairent les bois, votre seigneur, le reste de ses vassaux et vous êtes réunis pour savourer le grand banquet préparé par ses serviteurs !;Während die Freudenfeuer noch immer die Wälder in der warmen Sommernacht erleuchten, versammelt Ihr Euch mit Eurem Lehnsherrn und [From.GetHerHis]en anderen Vasallen für das große Festmahl, das [From.GetSheHe] vorbereitet hat!;;¡Con las hogueras iluminando el bosque en la cálida noche de verano, te reúnes junto con tu señor y el resto de [From.GetHerHis] vasallos para la gran fiesta que [From.GetSheHe] ha preparado!;;;;;;;;;x
EVTDESC_TOG_707;The bonfires have finished burning for this summer, and the feast has come to an end. Your vassals are returning home, but most seem to agree that the Gathering was well worth the trip.;Les feux de joie finissent tranquillement de se consumer pour cet été et le banquet tire à sa fin. Vos vassaux reprennent le chemin du retour et la plupart s'accordent pour dire que la fête d'Ukko Ylijumala valait le déplacement.;Die Freudenfeuer sind für diesen Sommer erloschen und das Fest hat ein Ende gefunden. Eure Vasallen kehren nach Hause zurück, doch die meisten sind der Ansicht, dass das Ukon Juhla Fest die Reise wert war.;;Las hogueras han terminado de quemarse por este verano, y la fiesta ha llegado a su fin. Tus vasallos están regresando a casa, pero la mayoría parecen estar de acuerdo con que el festival Ukon Juhla valió la pena.;;;;;;;;;x
EVTDESC_TOG_708;The bonfires have finished burning for this summer, and the feast has come to an end. You and the other vassals are returning home, but you all agree that the Gathering was well worth the trip.;Les feux de joie finissent tranquillement de se consumer pour cet été et le banquet tire à sa fin. Les autres vassaux et vous reprenez le chemin du retour et vous vous accordez tous pour dire que le festival d'Ukko Ylijumala en valait le déplacement.;Die Freudenfeuer sind für diesen Sommer erloschen und das Fest hat ein Ende gefunden. Ihr und die anderen Vasallen kehren nach Hause zurück, doch alle sind der Ansicht, dass das Ukon Juhla Fest die Reise wert war.;;Las hogueras han terminado de quemarse por este verano, y la fiesta ha llegado a su fin. Tú y los otros vasallos estáis regresando a casa, pero todos estáis de acuerdo con que el festival Ukon Juhla valió la pena.;;;;;;;;;x
EVTDESC_TOG_800;Invitations have gone out to your vassals asking them to join you in celebration of Ulutiu. You have decided to make the festival this year a special one, remembered by both gods and men for many years to come.;Les invitations à venir se joindre à la fête d'Yarilo ont été envoyées à vos vassaux. Vous avez décidé de la célébrer grandement, afin que les dieux et les hommes s'en rappellent pour de nombreuses années.;Einladungen zum Ulutiufest wurden an Eure Vasallen verschickt. Ihr habt Euch entschlossen, die Festivität zu etwas Besonderem zu machen, an das sich Götter und Menschen noch viele Jahre erinnern werden.;;Las invitaciones para tus vasallos han salido, pidiéndoles que se unan a la celebración de Ulutiu. Has decidido que el festival de este año sea especial, recordado por dioses y hombres los próximos años.;;;;;;;;;x
