#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
#
#Support people
support_people;Support Common Folk;;;;;;;;;;;x
support_people_desc;By using a small portion of your influence, you can increase the peasantry's wealth in a province, increasing prosperity and morale.;;;;;;;;;;;x
support_people_power_desc;Enables you to §Gright-click§! on a county title, in order to make a province flourish by supporting its people.;;;;;;;;;;;x
#
#Call For Heroes Harpers
call_for_heroes_harpers;Call for Heroes;;;;;;;;;;;x
call_for_heroes_harpers_desc;The Harpers are known for employing vast amounts of adventurers. By hiring such a group, your abilities as a commander will improve substantially, for a time.;;;;;;;;;;;x
call_for_heroes_harpers_power_desc;Enables a decision in the §YIntrigue§! menu. Hiring adventures improves your command skills.;;;;;;;;;;;x
#
#Sponsor Arts
sponsor_arts;Sponsor the Arts;;;;;;;;;;;x
sponsor_arts_desc;The Harpers are bound to preserve all that is good and beautiful in the world. You can spend some of your influence to organize a great event.;;;;;;;;;;;x
sponsor_arts_power_desc;Enables a decision in the §YIntrigue§! menu to organize a great festival of art and culture.;;;;;;;;;;;x
#
#Harper Training
harper_training;Harper Training;;;;;;;;;;;x
harper_training_desc;There are many skilled adventurers among the Harpers' ranks. Some of them may help you in your training.;;;;;;;;;;;x
harper_training_power_desc;Enables a decision in the §YIntrigue§! menu. Harper adventurers will help you level up faster.;;;;;;;;;;;x
#
#Harper Liberation cb
harper_liberation;Harper Liberation;;;;;;;;;;;x
harper_liberation_power_desc;You gain a special casus belli, allowing you to free provinces of good-aligned religions from infidel rulers.;;;;;;;;;;;x
#
harper_prepared_invasion;Harper Prepared Invasion;;;;;;;;;;;x
harper_prepared_invasion_desc;In extreme circumstances, High Harpers can call for realm-shattering invasions against evil, villainous rulers. Freedom fighters may join you in such a war.;;;;;;;;;;;x
harper_prepared_invasion_power_desc;Enables you to §Gright-click§! the portraits of tyrannical rulers to call for realm-shattering invasion against them.;;;;;;;;;;;x
#
#using support people
EVTDESC_HRP_100;My subjects live modest, honest lives. What if I could make their condition better? With the right investment, I could make them happy and prosperous.;;;;;;;;;;;x
EVTOPTA_HRP_100;Let's do it.;;;;;;;;;;;x
EVTOPTB_HRP_100;Not a good idea.;;;;;;;;;;;x
#
#how to support people
EVTDESC_HRP_101;If I want to improve my subjects' condition, lowering the taxes they owe me is the simple, straightforward choice. I wonder if I could come up with a different solution...;;;;;;;;;;;x
EVTOPTA_HRP_101;The local nobility, clergy and merchants can shoulder the effort.;;;;;;;;;;;x
EVTOPTB_HRP_101;Simple solutions are often the best.;;;;;;;;;;;x
EVTOPTC_HRP_101;With a well organized charity drive, I can convince the rich to contribute.;;;;;;;;;;;x
#
