#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
Cleric;cleric;;;;;;;;;;;;;x
cleric;cleric;;;;;;;;;;;;;x
good_human_pantheon_group;Estelar;;;;;;;;;;;;;x
good_human_pantheon;Faerûnian Polytheism;;;;;;;;;;;;;x
good_human_pantheon_DESC;This character primarily worships the good or neutral deities (Estelar) of the Faerûnian Pantheon.;;;;;;;;;;;;;x
sympathy_good_human_pantheon_group;Sympathy for Faerûnian Polytheism;;;;;;;;;;;x
evil_human_pantheon_group;Dark Estelar;;;;;;;;;;;;;x
evil_human_pantheon;The Dark Gods;;;;;;;;;;;;;x
evil_human_pantheon_DESC;This character primarily worships the evil deities (or Dark Estelar) of the Faerûnian Pantheon.;;;;;;;;;;;;;x
deities_of_fury;Deities of Fury;;;;;;;;;;;;;x
deities_of_fury_DESC;This character worships the gods that embody the destructive forces of nature.;;;;;;;;;;;;;x
talos;Talos;;;;;;;;;;;;;x
auril;Auril;;;;;;;;;;;;;x
umberlee;Umberlee;;;;;;;;;;;;;x
church_of_cyric;Church of Cyric;;;;;;;;;;;;;x
church_of_cyric_DESC;This character follows Cyric, the Prince of Lies. Cyric is a newly-risen god who stole his portfolio from other Dark Gods. He is at best a rival, and more often an enemy, to virtually all other gods.;;;;;;;;;;;;;x
gods_of_good;the Estelar;;;;;;;;;;;;;x
gods_of_evil;the Dark Gods;;;;;;;;;;;;;x
bane;Bane;;;;;;;;;;;;;x
xvim;Iyachtu Xvim;;;;;;;;;;;;;x
cyric;Cyric;;;;;;;;;;;;;x
calishite_faith;Calishite Faith;;;;;;;;;;;;;x
calishite_faith_desc;This character follows the Calishite religion, which follows the polytheistic gods of Faerun, although often under different names. This form of the Faerunian faith permits polygamy, and members are sometimes symathetic to the views of the Zakharan faith of Ten Thousand Gods.;;;;;;;;;;;;;x
achanatyr;Achanatyr;;;;;;;;;;;;;x
nobanian;Nobanion the Lion;;;;;;;;;;;;;x
chauntean_faith;Church of Chauntea;;;;;;;;;;;;;x
