#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
family_palace_baron_illuskan;High Captain;;;;;;;;;;;;;x
family_palace_baron_female_illuskan;High Captain;;;;;;;;;;;;;x
city_count_illuskan;High Captain;;;;;;;;;;;;;x
city_count_female_illuskan;High Captain;;;;;;;;;;;;;x
city_duke_illuskan;First High Captain;;;;;;;;;;;;;x
city_duke_female_illuskan;First High Captain;;;;;;;;;;;;;x
city_baron_calishite;Sabbalad;;;;;;;;;;;;;x
city_baron_female_calishite;Sabbalada;;;;;;;;;;;;;x
city_count_calishite;Sultan;;;;;;;;;;;;;x
city_count_female_calishite;Sultana;;;;;;;;;;;;;x
temple_baron_calishite;Bakkal;;;;;;;;;;;;;x
temple_baron_female_calishite;Bakkala;;;;;;;;;;;;;x
temple_count_calishite;Syl-Bakkal;;;;;;;;;;;;;x
temple_count_female_calishite;Syl-Bakkala;;;;;;;;;;;;;x
duke_calishite;Yshah;;;;;;;;;;;;;x
duke_female_calishite;Yshah;;;;;;;;;;;;;x
duchy_calishite;Shanate;;;;;;;;;;;;;x
king_calishite;Caleph;;;;;;;;;;;;;x
count_calishite;Ynamalik;;;;;;;;;;;;;x
count_female_calishite;Ynamalika;;;;;;;;;;;;;x
baron_calishite;Pasha;;;;;;;;;;;;;x
baron_female_calishite;Pasha;;;;;;;;;;;;;x
city_baron_shoon;Enhir;;;;;;;;;;;;;x
city_count_shoon;Hakkam;;;;;;;;;;;;;x
baron_shoon;Massatyr;;;;;;;;;;;;;x
count_shoon;Ruais;;;;;;;;;;;;;x
duke_shoon;Nazir;;;;;;;;;;;;;x
king_shoon;Caleph;;;;;;;;;;;;;x
emperor_shoon;Qysar;;;;;;;;;;;;;x
emperor_female_shoon;Qysara;;;;;;;;;;;;;x
count_female_drow;Matron Mother;;;;;;;;;;;;;x
duke_female_drow;Matron Mother;;;;;;;;;;;;;x
king_female_drow;Matron Mother;;;;;;;;;;;;;x
emperor_female_drow;Matron Mother;;;;;;;;;;;;;x
baron_highcoaster;Lord;;;;;;;;;;;;;x
baron_highcoaster_female;Lady;;;;;;;;;;;;;x
baron_highcoaster_wife;Lady;;;;;;;;;;;;;x
baron_nelanthern;Captain;;;;;;;;;;;;;x
baron_female_nelanthern;Captain;;;;;;;;;;;;;x
count_nelanthern;Chief Captain;;;;;;;;;;;;;x
count_female_nelanthern;Chief Captain;;;;;;;;;;;;;x
duke_nelanthern;Rear Admiral;;;;;;;;;;;;;x
duke_female_nelanthern;Rear Admiral;;;;;;;;;;;;;x
king_nelanthern;Admiral;;;;;;;;;;;;;x
king_female_nelanthern;Admiral;;;;;;;;;;;;;x
emperor_nelanthern;Grand Admiral;;;;;;;;;;;;;x
emperor_female_nelanthern;Grand Admiral;;;;;;;;;;;;;x
duke_yikarian;Governor;;;;;;;;;;;;;x
duke_female_yikarian;Governor;;;;;;;;;;;;;x
baron_untheric;Lord;;;;;;;;;;;;;x
count_untheric;Lord;;;;;;;;;;;;;x
duke_untheric;Great Lord;;;;;;;;;;;;;x
temple_duke_untheric;High Lord;;;;;;;;;;;;;x
nomadic_emperor_tuigan;Khahan;;;;;;;;;;;;;x
nomadic_empire_tuigan;Khahanate;;;;;;;;;;;;;x
nomadic_empire_of_tuigan;Khahanate of;;;;;;;;;;;;;x
tribal_king_arnadar;Syl-Caliym;;;;;;;;;;;;;x
tribal_king_female_arnadar;Syl-Caliym;;;;;;;;;;;;;x
tribal_kingdom_arnadar;Syl-Caliymate;;;;;;;;;;;;;x
tribal_kingdom_of_arnadar;Syl-Caliymate of;;;;;;;;;;;;;x
tribal_duke_arnadar;Elder Caliym;;;;;;;;;;;;;x
tribal_duke_female_arnadar;Elder Caliym;;;;;;;;;;;;;x
tribal_duchy_arnadar;Shadi'ar;;;;;;;;;;;;;x
tribal_duchy_of_arnadar;Shadi'ar;;;;;;;;;;;;;x
count_uthgardt;Thane;;;;;;;;;;;;;x
count_ffolk;Laird;;;;;;;;;;;;;x
count_mulhorandi;Irypat;Irypat;Irypat;;Irypat;;;;;;;;;x
tribal_count_mulhorandi;Ataman;Ataman;Ataman;;Ataman;;;;;;;;;x
tribal_count_semphari;Ataman;Ataman;Ataman;;Ataman;;;;;;;;;x
duke_mulhorandi;Nomarch;Nomarque;Nomarch;;Nomarch;;;;;;;;;x
king_mulhorandi;Pharaoh;Pharaon;Pharaoh;;Pharaoh;;;;;;;;;x
king_female_mulhorandi;Pharaoh;Pharaon;Pharaoh;;Pharaoh;;;;;;;;;x
emperor_mulhorandi;Aai-Pharaoh;Aai-Pharaoh;Aai-Pharaoh;;Aai-Pharaoh;;;;;;;;;x
emperor_female_mulhorandi;Aai-Pharaoh;Aai-Pharaoh;Aai-Pharaoh;;Aai-Pharaoh;;;;;;;;;x
temple_count_mulhorandi;Priest;Prêtre;Priest;;Priest;;;;;;;;;x
temple_count_female_mulhorandi;Priestess;Prêtresse;Priestess;;Priestess;;;;;;;;;x
temple_duke_mulhorandi;High Priest;Grand Prêtre;High Priest;;High Priest;;;;;;;;;x
temple_duke_female_mulhorandi;High Priestess;Grand Prêtresse;High Priestess;;High Priestess;;;;;;;;;x
temple_king_mulhorandi;Pharaoh;Pharaon;Pharaoh;;Pharaoh;;;;;;;;;x
temple_emperor_mulhorandi;Aai-Pharaoh;Aai-Pharaon;Aai-Pharaoh;;Aai-Pharaoh;;;;;;;;;x
city_baron_mulhorandi;Precept;Precept;Precept;;Precept;;;;;;;;;x
city_count_mulhorandi;Precept;Precept;Precept;;Precept;;;;;;;;;x
city_duke_mulhorandi;Grand Precept;Grand Precept;Grand Precept;;Grand Precept;;;;;;;;;x
city_king_amnian;Meisarch;;;;;;;;;;;;;x
baron_thayan;Daeron;;;;;;;;;;;;x
baron_female_thayan;Daeronness;;;;;;;;;;;;x
count_thayan;Autharch;;;;;;;;;;;;x
count_female_thayan;Autharch;;;;;;;;;;;;x
duke_thayan;Tharchion;;;;;;;;;;;;x
duke_female_thayan;Tharchioness;;;;;;;;;;;;x
duchy_thayan;Tharch;;;;;;;;;;;;x
duchy_of_thayan;Tharch of;;;;;;;;;;;;x
king_impilturan;Riar;;;;;;;;;;;;x
king_female_impilturan;Riara;;;;;;;;;;;;x
duke_impilturan;Vaerar;;;;;;;;;;;;x
duke_female_impilturan;Vaerala;;;;;;;;;;;;x
duchy_impilutran;March;;;;;;;;;;;;x
duchy_of_impilturan;March of;;;;;;;;;;;;x
count_impilturan;Serdar;;;;;;;;;;;;x
count_female_impilturan;Serdassa;;;;;;;;;;;;x
