#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_castle_ward;Blackstaff Tower;Castle Ward;Castle Ward;;;;;;;;;;;x
b_castle_ward_adj;Castle Wardian;;Castle Warder;;;;;;;;;;;x
d_black_lion;Black Lion Tribe;Lion Noir;Schwarze Löwe;;;;;;;;;;;x
d_black_lion_adj;Black Lion Tribe's;Lion Noir;Schwarze Löwe;;;;;;;;;;;x
d_black_raven;Black Raven Tribe;Corbeau Noir;Schwarze Rabe;;;;;;;;;;;x
d_black_raven_adj;Black Raven Tribe's;Corbeau Noir;Schwarze Rabe;;;;;;;;;;;x
d_blue_bear;Blue Bear Tribe;Ours Bleu;Blaue Bär;;;;;;;;;;;x
d_blue_bear_adj;Blue Bear Tribe's;Ours Bleu;Blaue Bär;;;;;;;;;;;x
d_elk;Elk Tribe;Élan;Elch;;;;;;;;;;;x
d_elk_adj;Elk Tribe's;Élan;Elch;;;;;;;;;;;x
d_golden_eagle;Golden Eagle Tribe;Aigle Royal;Steinadler;;;;;;;;;;;x
d_golden_eagle_adj;Golden Eagle Tribe's;Aigle Royal;Steinadler;;;;;;;;;;;x
d_gray_wolf;Gray Wolf Tribe;Loup Gris;Grauer Wolf;;;;;;;;;;;x
d_gray_wolf_adj;Gray Wolf Tribe's;Loup Gris;Grauer Wolf;;;;;;;;;;;x
d_great_worm;Great Worm Tribe;Grand Dragon;Lindwurm;;;;;;;;;;;x
d_great_worm_adj;Great Worm Tribe's;Grand Dragon;Lindwurm;;;;;;;;;;;x
d_griffon;Griffon Tribe;Griffon;Greif;;;;;;;;;;;x
d_griffon_adj;Griffon Tribe's;Griffon;Greif;;;;;;;;;;;x
d_red_pony;Red Pony Tribe;Poney Rouge;Roter Pony;;;;;;;;;;;x
d_red_pony_adj;Red Pony Tribe's;Poney Rouge;Roter Pony;;;;;;;;;;;x
d_red_tiger;Red Tiger Tribe;Tigre Rouge;Roter Tiger;;;;;;;;;;;x
d_red_tiger_adj;Red Tiger Tribe's;Tigre Rouge;Roter Tiger;;;;;;;;;;;x
