#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_abaltrer;Abaltrer;Abaltrer;Abaltrer;;Abaltrer;;;;;;;;;x
c_abaltrer_adj;Abaltrerian;;abaltrerer;;;;;;;;;;;x
c_abesera;Abesera;Abesera;Abesera;;Abesera;;;;;;;;;x
c_abesera_adj;Abeseran;;abeserer;;;;;;;;;;;x
c_abreon;Abreon;Abreon;Abreon;;Abreon;;;;;;;;;x
c_abreon_adj;Abreonian;;abreoner;;;;;;;;;;;x
c_adamas_tooth;Adama's Tooth;Adama's Tooth;Adama's Tooth;;Adama's Tooth;;;;;;;;;x
c_adamas_tooth_adj;Adamas Toothian;;Adama's Toother;;;;;;;;;;;x
c_adbar;Adbar;Adbar;Adbar;;Adbar;;;;;;;;;x
c_adbar_adj;Adbarian;;adbarer;;;;;;;;;;;x
c_addak;Addak;Addak;Addak;;Addak;;;;;;;;;x
c_addak_adj;Addakian;;addaker;;;;;;;;;;;x
c_adder_swamp;Adder Swamp;Adder Swamp;Adder Swamp;;Adder Swamp;;;;;;;;;x
c_adder_swamp_adj;Adder Swampian;;Adder Swamper;;;;;;;;;;;x
c_adder_woods;Adder Woods;Adder Woods;Adder Woods;;Adder Woods;;;;;;;;;x
c_adder_woods_adj;Adder Woodsian;;Adder Woodser;;;;;;;;;;;x
c_adhal;Adhal;Adhal;Adhal;;Adhal;;;;;;;;;x
c_adhal_adj;Adhalian;;adhaler;;;;;;;;;;;x
c_aerilpar_forest;Aerilpar Forest;Aerilpar Forest;Aerilpar Forest;;Aerilpar Forest;;;;;;;;;x
c_aerilpar_forest_adj;Aerilpar Forestian;;Aerilpar Forester;;;;;;;;;;;x
c_aerithaes_rest;Aerithae’s Rest;Aerithae’s Rest;Aerithae’s Rest;;Aerithae’s Rest;;;;;;;;;x
c_aerithaes_rest_adj;Aerithae’s Restian;;Aerithae’s Rester;;;;;;;;;;;x
c_ahlarkhem;Ahlarkhem;Ahlarkhem;Ahlarkhem;;Ahlarkhem;;;;;;;;;x
c_ahlarkhem_adj;Ahlarkhemian;;ahlarkhemer;;;;;;;;;;;x
c_ahma;Ahma;Ahma;Ahma;;Ahma;;;;;;;;;x
c_ahma_adj;Ahman;;ahmer;;;;;;;;;;;x
c_ahtitlak;Ahtitlak;Ahtitlak;Ahtitlak;;Ahtitlak;;;;;;;;;x
c_ahtitlak_adj;Ahtitlakian;;ahtitlaker;;;;;;;;;;;x
c_aina;Aina;Aina;Aina;;Aina;;;;;;;;;x
c_aina_adj;Ainan;;ainer;;;;;;;;;;;x
c_airspur;Airspur;Airspur;Airspur;;Airspur;;;;;;;;;x
c_airspur_adj;Airspurian;;airspurer;;;;;;;;;;;x
c_ajmer_forest;Ajmer Forest;Ajmer Forest;Ajmer Forest;;Ajmer Forest;;;;;;;;;x
c_ajmer_forest_adj;Ajmer Forestian;;Ajmer Forester;;;;;;;;;;;x
c_akaam;Akaam;Akaam;Akaam;;Akaam;;;;;;;;;x
c_akaam_adj;Akaamian;;akaamer;;;;;;;;;;;x
c_akanax;Akanax;Akanax;Akanax;;Akanax;;;;;;;;;x
c_akanax_adj;Akanaxian;;akanaxer;;;;;;;;;;;x
c_akashay;Akashay;Akashay;Akashay;;Akashay;;;;;;;;;x
c_akashay_adj;Akashaian;;akashaer;;;;;;;;;;;x
c_akshu;Akshu;Akshu;Akshu;;Akshu;;;;;;;;;x
c_akshu_adj;Akshian;;aksher;;;;;;;;;;;x
c_al_anwahr;Al-Anwahr;Al-Anwahr;Al-Anwahr;;Al-Anwahr;;;;;;;;;x
c_al_anwahr_adj;Al-Anwahrian;;al-anwahrer;;;;;;;;;;;x
c_al_azra;Al-Azra;Al-Azra;Al-Azra;;Al-Azra;;;;;;;;;x
c_al_azra_adj;Al-Azran;;al-azrer;;;;;;;;;;;x
c_al_harir;Al-Harir;Al-Harir;Al-Harir;;Al-Harir;;;;;;;;;x
c_al_harir_adj;Al-Haririan;;al-harirer;;;;;;;;;;;x
c_al_haul;Al-Haul;Al-Haul;Al-Haul;;Al-Haul;;;;;;;;;x
c_al_haul_adj;Al-Haulian;;al-hauler;;;;;;;;;;;x
c_al_kidr;Al-Kidr;Al-Kidr;Al-Kidr;;Al-Kidr;;;;;;;;;x
c_al_kidr_adj;Al-Kidrian;;al-kidrer;;;;;;;;;;;x
c_al_qahera;Al-Qahera;Al-Qahera;Al-Qahera;;Al-Qahera;;;;;;;;;x
c_al_qahera_adj;Al-Qaheran;;al-qaherer;;;;;;;;;;;x
c_al_yater;Al-Yater;Al-Yater;Al-Yater;;Al-Yater;;;;;;;;;x
c_al_yater_adj;Al-Yaterian;;al-yaterer;;;;;;;;;;;x
c_alaghon;Alaghôn;Alaghôn;Alaghôn;;Alaghôn;;;;;;;;;x
c_alaghon_adj;Alaghônian;;alaghôner;;;;;;;;;;;x
c_alamaqu;Alamaqu;Alamaqu;Alamaqu;;Alamaqu;;;;;;;;;x
c_alamaqu_adj;Alamaqian;;alamaqer;;;;;;;;;;;x
c_alamirs_end;Alamir's End;Alamir's End;Alamir's End;;Alamir's End;;;;;;;;;x
c_alamirs_end_adj;Alamirs Endian;;Alamir's Ender;;;;;;;;;;;x
c_alamontyr;Alamontyr;Alamontyr;Alamontyr;;Alamontyr;;;;;;;;;x
c_alamontyr_adj;Alamontyrian;;alamontyrer;;;;;;;;;;;x
c_alaoreum;Alaoreum;Alaoreum;Alaoreum;;Alaoreum;;;;;;;;;x
c_alaoreum_adj;Alaoreumian;;alaoreumer;;;;;;;;;;;x
c_alashan;Alashan;Alashan;Alashan;;Alashan;;;;;;;;;x
c_alashan_adj;Alashanian;;alashaner;;;;;;;;;;;x
c_aldani_basin;Aldani Basin;Aldani Basin;Aldani Basin;;Aldani Basin;;;;;;;;;x
c_aldani_basin_adj;Aldani Basinian;;Aldani Basiner;;;;;;;;;;;x
c_alisiwhann;Alisiwhann;Alisiwhann;Alisiwhann;;Alisiwhann;;;;;;;;;x
c_alisiwhann_adj;Alisiwhannian;;alisiwhanner;;;;;;;;;;;x
c_almorel;Almorel;Almorel;Almorel;;Almorel;;;;;;;;;x
c_almorel_adj;Almorelian;;almoreler;;;;;;;;;;;x
c_almraiven;Almraiven;Almraiven;Almraiven;;Almraiven;;;;;;;;;x
c_almraiven_adj;Almraivenian;;almraivener;;;;;;;;;;;x
c_alonmarch;Alonmarch;Alonmarch;Alonmarch;;Alonmarch;;;;;;;;;x
c_alonmarch_adj;Alonmarchian;;alonmarcher;;;;;;;;;;;x
c_alphar_and_kelthan;Alphar and Kelthan;Alphar and Kelthan;Alphar and Kelthan;;Alphar and Kelthan;;;;;;;;;x
c_alphar_and_kelthan_adj;Alpharian;;Alphar and Kelthaner;;;;;;;;;;;x
c_aluar;Aluar;Aluar;Aluar;;Aluar;;;;;;;;;x
c_aluar_adj;Aluarian;;aluarer;;;;;;;;;;;x
c_aluivyn;Aluivyn;Aluivyn;Aluivyn;;Aluivyn;;;;;;;;;x
c_aluivyn_adj;Aluivynian;;aluivyner;;;;;;;;;;;x
c_alyszily;Alyszily;Alyszily;Alyszily;;Alyszily;;;;;;;;;x
